54252,None,CUB,Bronze,Taekwondo Men's Heavyweight,Taekwondo,2012 Summer,2012,Summer,London
54261,None,CAN,Silver,Diving Men's Springboard,Diving,2004 Summer,2004,Summer,Athina
54264,None,CAN,Silver,Diving Men's Springboard,Diving,2008 Summer,2008,Summer,Beijing
54268,None,FRA,Gold,Boxing Men's Middleweight,Boxing,1936 Summer,1936,Summer,Berlin
54276,None,YUG,Bronze,Basketball Women's Basketball,Basketball,1980 Summer,1980,Summer,Moskva
54280,None,FRA,Bronze,Rowing Men's Coxless Fours,Rowing,2008 Summer,2008,Summer,Beijing
54286,None,FRA,Gold,Fencing Men's epee Team,Fencing,1948 Summer,1948,Summer,London
54337,None,HAI,Bronze,Shooting Men's Free Rifle 400 600 and 800 metres Team,Shooting,1924 Summer,1924,Summer,Paris
54366,None,HUN,Bronze,Sailing Mixed Two Person Heavyweight Dinghy,Sailing,1980 Summer,1980,Summer,Moskva
54367,None,HUN,Bronze,Sailing Mixed Two Person Heavyweight Dinghy,Sailing,1980 Summer,1980,Summer,Moskva
54369,None,FRA,Gold,Cycling Men's Road Race Team,Cycling,1920 Summer,1920,Summer,Antwerpen
54371,None,ITA,Bronze,Swimming Men's 400 metres Freestyle,Swimming,2016 Summer,2016,Summer,Rio de Janeiro
54372,None,ITA,Bronze,Swimming Men's 1500 metres Freestyle,Swimming,2016 Summer,2016,Summer,Rio de Janeiro
54378,None,FRA,Silver,Rowing Men's Double Sculls,Rowing,1924 Summer,1924,Summer,Paris
54379,None,USA,Gold,Rowing Men's Coxed Eights,Rowing,1952 Summer,1952,Summer,Helsinki
54404,None,GER,Bronze,Equestrianism Mixed Jumping Team,Equestrianism,2016 Summer,2016,Summer,Rio de Janeiro
54405,None,GER,Silver,Weightlifting Men's Light-Heavyweight,Weightlifting,1936 Summer,1936,Summer,Berlin
54434,None,URS,Bronze,Swimming Women's 4 x 100 metres Medley Relay,Swimming,1964 Summer,1964,Summer,Tokyo
54438,None,PAR,Silver,Football Men's Football,Football,2004 Summer,2004,Summer,Athina
54449,None,USA,Gold,Athletics Men's 3000 metres Team,Athletics,1920 Summer,1920,Summer,Antwerpen
54456,None,FRA,Bronze,Athletics Men's 4 x 400 metres Relay,Athletics,1920 Summer,1920,Summer,Antwerpen
54463,None,FRA,Gold,Swimming Men's Underwater Swimming,Swimming,1900 Summer,1900,Summer,Paris
54467,None,USA,Gold,Rugby Men's Rugby,Rugby,1924 Summer,1924,Summer,Paris
54469,None,YUG,Bronze,Football Men's Football,Football,1984 Summer,1984,Summer,Los Angeles
54471,None,USA,Gold,Athletics Women's 100 metres,Athletics,1992 Summer,1992,Summer,Barcelona
54473,None,USA,Gold,Athletics Women's 100 metres,Athletics,1996 Summer,1996,Summer,Atlanta
54475,None,USA,Gold,Athletics Women's 4 x 100 metres Relay,Athletics,1996 Summer,1996,Summer,Atlanta
54479,None,GRE,Silver,Athletics Women's Triple Jump,Athletics,2004 Summer,2004,Summer,Athina
54481,None,GRE,Bronze,Athletics Women's Triple Jump,Athletics,2008 Summer,2008,Summer,Beijing
54500,None,USA,Bronze,Boxing Men's Featherweight,Boxing,1928 Summer,1928,Summer,Amsterdam
54508,None,AUS,Silver,Swimming Men's 100 metres Freestyle,Swimming,1956 Summer,1956,Summer,Melbourne
54509,None,AUS,Gold,Swimming Men's 4 x 200 metres Freestyle Relay,Swimming,1956 Summer,1956,Summer,Melbourne
54510,None,AUS,Gold,Swimming Men's 100 metres Freestyle,Swimming,1960 Summer,1960,Summer,Roma
54511,None,AUS,Bronze,Swimming Men's 4 x 200 metres Freestyle Relay,Swimming,1960 Summer,1960,Summer,Roma
54520,None,VEN,Bronze,Athletics Men's Triple Jump,Athletics,1952 Summer,1952,Summer,Helsinki
54523,None,GBR,Gold,Athletics Men's 4 x 100 metres Relay,Athletics,2004 Summer,2004,Summer,Athina
54530,None,ITA,Silver,Sailing Men's One Person Dinghy,Sailing,2000 Summer,2000,Summer,Sydney
54558,None,BLR,Silver,Athletics Men's Hammer Throw,Athletics,2008 Summer,2008,Summer,Beijing
54560,None,URS,Gold,Cross Country Skiing Men's 15 kilometres,Cross Country Skiing,1988 Winter,1988,Winter,Calgary
54563,None,URS,Silver,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing,1988 Winter,1988,Winter,Calgary
54574,None,AUS,Bronze,Swimming Men's 4 x 100 metres Medley Relay,Swimming,1996 Summer,1996,Summer,Atlanta
54575,None,BEL,Silver,Water Polo Men's Water Polo,Water Polo,1920 Summer,1920,Summer,Antwerpen
54576,None,BEL,Silver,Water Polo Men's Water Polo,Water Polo,1924 Summer,1924,Summer,Paris
54578,None,CAN,Silver,Boxing Men's Heavyweight,Boxing,1984 Summer,1984,Summer,Los Angeles
54580,None,USA,Silver,Athletics Men's Hammer Throw,Athletics,1904 Summer,1904,Summer,St. Louis
54599,None,GBR,Silver,Rugby Men's Rugby,Rugby,1900 Summer,1900,Summer,Paris
54600,None,POL,Gold,Football Men's Football,Football,1972 Summer,1972,Summer,Munich
54601,None,POL,Silver,Football Men's Football,Football,1976 Summer,1976,Summer,Montreal
54610,None,ITA,Silver,Canoeing Men's Canadian Doubles 1000 metres,Canoeing,1960 Summer,1960,Summer,Roma
54635,None,CAN,Gold,Rowing Men's Coxless Fours,Rowing,1956 Summer,1956,Summer,Melbourne
54636,None,CAN,Silver,Rowing Men's Coxed Eights,Rowing,1960 Summer,1960,Summer,Roma
54640,None,BEL,Bronze,Cycling Women's Omnium,Cycling,2016 Summer,2016,Summer,Rio de Janeiro
54644,None,FRA,Bronze,Fencing Men's Foil Individual,Fencing,1906 Summer,1906,Summer,Athina
54646,None,FRA,Gold,Fencing Men's epee Team,Fencing,1906 Summer,1906,Summer,Athina
54678,None,ITA,Bronze,Equestrianism Mixed Jumping Individual,Equestrianism,1956 Summer,1956,Summer,Stockholm
54679,None,ITA,Silver,Equestrianism Mixed Jumping Team,Equestrianism,1956 Summer,1956,Summer,Stockholm
54680,None,ITA,Silver,Equestrianism Mixed Jumping Individual,Equestrianism,1960 Summer,1960,Summer,Roma
54681,None,ITA,Bronze,Equestrianism Mixed Jumping Team,Equestrianism,1960 Summer,1960,Summer,Roma
54683,None,ITA,Bronze,Equestrianism Mixed Jumping Team,Equestrianism,1964 Summer,1964,Summer,Tokyo
54687,None,ITA,Bronze,Equestrianism Mixed Jumping Team,Equestrianism,1972 Summer,1972,Summer,Munich
54693,None,ITA,Silver,Equestrianism Mixed Jumping Individual,Equestrianism,1956 Summer,1956,Summer,Stockholm
54694,None,ITA,Silver,Equestrianism Mixed Jumping Team,Equestrianism,1956 Summer,1956,Summer,Stockholm
54695,None,ITA,Gold,Equestrianism Mixed Jumping Individual,Equestrianism,1960 Summer,1960,Summer,Roma
54696,None,ITA,Bronze,Equestrianism Mixed Jumping Team,Equestrianism,1960 Summer,1960,Summer,Roma
54698,None,ITA,Bronze,Equestrianism Mixed Jumping Team,Equestrianism,1964 Summer,1964,Summer,Tokyo
54702,None,ITA,Bronze,Equestrianism Mixed Jumping Team,Equestrianism,1972 Summer,1972,Summer,Munich
54717,None,ITA,Silver,Archery Men's Team,Archery,2000 Summer,2000,Summer,Sydney
54721,None,ITA,Silver,Archery Men's Team,Archery,2008 Summer,2008,Summer,Beijing
54725,None,ITA,Gold,Rowing Men's Coxed Pairs,Rowing,1984 Summer,1984,Summer,Los Angeles
54726,None,ITA,Gold,Rowing Men's Coxed Pairs,Rowing,1988 Summer,1988,Summer,Seoul
54727,None,ITA,Silver,Rowing Men's Coxed Pairs,Rowing,1992 Summer,1992,Summer,Barcelona
54738,None,ITA,Silver,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing,2002 Winter,2002,Winter,Salt Lake City
54739,None,ITA,Gold,Cross Country Skiing Men's 50 kilometres,Cross Country Skiing,2006 Winter,2006,Winter,Torino
54741,None,ITA,Gold,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing,2006 Winter,2006,Winter,Torino
54759,None,ITA,Bronze,Cross Country Skiing Women's 4 x 5 kilometres Relay,Cross Country Skiing,1992 Winter,1992,Winter,Albertville
54760,None,ITA,Silver,Cross Country Skiing Women's 5 kilometres,Cross Country Skiing,1994 Winter,1994,Winter,Lillehammer
54761,None,ITA,Gold,Cross Country Skiing Women's 15 kilometres,Cross Country Skiing,1994 Winter,1994,Winter,Lillehammer
54762,None,ITA,Gold,Cross Country Skiing Women's 30 kilometres,Cross Country Skiing,1994 Winter,1994,Winter,Lillehammer
54763,None,ITA,Silver,Cross Country Skiing Women's 5/10 kilometres Pursuit,Cross Country Skiing,1994 Winter,1994,Winter,Lillehammer
54764,None,ITA,Bronze,Cross Country Skiing Women's 4 x 5 kilometres Relay,Cross Country Skiing,1994 Winter,1994,Winter,Lillehammer
54767,None,ITA,Bronze,Cross Country Skiing Women's 4 x 5 kilometres Relay,Cross Country Skiing,1998 Winter,1998,Winter,Nagano
54770,None,RSA,Bronze,Rowing Men's Coxless Pairs,Rowing,2004 Summer,2004,Summer,Athina
54774,None,ITA,Bronze,Rowing Men's Coxless Pairs,Rowing,2016 Summer,2016,Summer,Rio de Janeiro
54779,None,ITA,Gold,Shooting Men's Air Pistol 10 metres,Shooting,1996 Summer,1996,Summer,Atlanta
54780,None,ITA,Bronze,Shooting Men's Free Pistol 50 metres,Shooting,1996 Summer,1996,Summer,Atlanta
54787,None,ITA,Gold,Fencing Women's Foil Individual,Fencing,2012 Summer,2012,Summer,London
54788,None,ITA,Gold,Fencing Women's Foil Team,Fencing,2012 Summer,2012,Summer,London
54789,None,ITA,Silver,Fencing Women's Foil Individual,Fencing,2016 Summer,2016,Summer,Rio de Janeiro
54790,None,ITA,Bronze,Water Polo Men's Water Polo,Water Polo,2016 Summer,2016,Summer,Rio de Janeiro
54792,None,ARG,Bronze,Hockey Women's Hockey,Hockey,2004 Summer,2004,Summer,Athina
54807,None,ARG,Gold,Football Men's Football,Football,2008 Summer,2008,Summer,Beijing
54809,None,ITA,Gold,Water Polo Women's Water Polo,Water Polo,2004 Summer,2004,Summer,Athina
54812,None,ITA,Silver,Water Polo Women's Water Polo,Water Polo,2016 Summer,2016,Summer,Rio de Janeiro
54816,None,FRA,Silver,Fencing Men's epee Team,Fencing,2000 Summer,2000,Summer,Sydney
54829,None,FRA,Bronze,Tennis Men's Singles,Tennis,2000 Summer,2000,Summer,Sydney
54838,None,ITA,Bronze,Equestrianism Men's Three-Day Event Team,Equestrianism,1924 Summer,1924,Summer,Paris
54840,None,ITA,Gold,Fencing Men's Foil Team,Fencing,1936 Summer,1936,Summer,Berlin
54842,None,ITA,Silver,Fencing Men's Foil Team,Fencing,1948 Summer,1948,Summer,London
54843,None,ITA,Bronze,Fencing Men's Foil Individual,Fencing,1952 Summer,1952,Summer,Helsinki
54844,None,ITA,Silver,Fencing Men's Foil Team,Fencing,1952 Summer,1952,Summer,Helsinki
54845,None,ITA,Gold,Fencing Men's Foil Team,Fencing,1956 Summer,1956,Summer,Melbourne
54880,None,SEN,Silver,Athletics Men's 400 metres Hurdles,Athletics,1988 Summer,1988,Summer,Seoul
54907,None,ROU,Silver,Rowing Women's Coxed Eights,Rowing,1984 Summer,1984,Summer,Los Angeles
54928,None,GRE,Bronze,Athletics Men's High Jump,Athletics,1906 Summer,1906,Summer,Athina
54966,None,GBR,Bronze,Athletics Women's 4 x 400 metres Relay,Athletics,2016 Summer,2016,Summer,Rio de Janeiro
54968,None,AUS,Gold,Shooting Men's Trap,Shooting,1996 Summer,1996,Summer,Atlanta
54969,None,AUS,Gold,Shooting Men's Trap,Shooting,2000 Summer,2000,Summer,Sydney
54976,None,ITA,Silver,Rowing Men's Coxed Pairs (1 kilometres),Rowing,1906 Summer,1906,Summer,Athina
55022,None,BRA,Bronze,Basketball Men's Basketball,Basketball,1948 Summer,1948,Summer,London
55095,None,DOM,Gold,Boxing Men's Light-Welterweight,Boxing,2008 Summer,2008,Summer,Beijing
55100,None,CUB,Gold,Baseball Men's Baseball,Baseball,1992 Summer,1992,Summer,Barcelona
55112,None,PHI,Silver,Weightlifting Women's Featherweight,Weightlifting,2016 Summer,2016,Summer,Rio de Janeiro
55145,None,CUB,Gold,Fencing Men's Foil Team,Fencing,1904 Summer,1904,Summer,St. Louis
55146,None,CUB,Gold,Fencing Men's Sabre Individual,Fencing,1904 Summer,1904,Summer,St. Louis
55155,None,ARG,Silver,Football Men's Football,Football,1928 Summer,1928,Summer,Amsterdam
55158,None,PAR,Silver,Football Men's Football,Football,2004 Summer,2004,Summer,Athina
55178,None,CUB,Silver,Fencing Men's Foil Team,Fencing,1992 Summer,1992,Summer,Barcelona
55185,None,ARG,Silver,Shooting Men's Rapid-Fire Pistol 25 metres,Shooting,1948 Summer,1948,Summer,London
55190,None,ROU,Gold,Canoeing Men's Kayak Singles 500 metres,Canoeing,1976 Summer,1976,Summer,Montreal
55191,None,ROU,Bronze,Canoeing Men's Kayak Singles 1000 metres,Canoeing,1976 Summer,1976,Summer,Montreal
55192,None,ROU,Bronze,Canoeing Men's Kayak Singles 500 metres,Canoeing,1980 Summer,1980,Summer,Moskva
55193,None,ROU,Silver,Canoeing Men's Kayak Fours 1000 metres,Canoeing,1980 Summer,1980,Summer,Moskva
55197,None,ETH,Silver,Athletics Women's 10000 metres,Athletics,2004 Summer,2004,Summer,Athina
55200,None,ETH,Silver,Athletics Women's 1500 metres,Athletics,2016 Summer,2016,Summer,Rio de Janeiro
55202,None,ETH,Bronze,Athletics Women's Marathon,Athletics,2016 Summer,2016,Summer,Rio de Janeiro
55203,None,ETH,Bronze,Athletics Women's 5000 metres,Athletics,2004 Summer,2004,Summer,Athina
55204,None,ETH,Gold,Athletics Women's 5000 metres,Athletics,2008 Summer,2008,Summer,Beijing
55205,None,ETH,Gold,Athletics Women's 10000 metres,Athletics,2008 Summer,2008,Summer,Beijing
55206,None,ETH,Bronze,Athletics Women's 5000 metres,Athletics,2012 Summer,2012,Summer,London
55207,None,ETH,Gold,Athletics Women's 10000 metres,Athletics,2012 Summer,2012,Summer,London
55208,None,ETH,Bronze,Athletics Women's 10000 metres,Athletics,2016 Summer,2016,Summer,Rio de Janeiro
55211,None,DEN,Gold,Gymnastics Men's Team All-Around Free System,Gymnastics,1920 Summer,1920,Summer,Antwerpen
55217,None,ITA,Silver,Diving Men's Platform,Diving,1964 Summer,1964,Summer,Tokyo
55218,None,ITA,Silver,Diving Men's Springboard,Diving,1968 Summer,1968,Summer,Mexico City
55219,None,ITA,Gold,Diving Men's Platform,Diving,1968 Summer,1968,Summer,Mexico City
55221,None,ITA,Gold,Diving Men's Platform,Diving,1972 Summer,1972,Summer,Munich
55223,None,ITA,Gold,Diving Men's Platform,Diving,1976 Summer,1976,Summer,Montreal
55232,None,GER,Gold,Equestrianism Mixed Three-Day Event Team,Equestrianism,2008 Summer,2008,Summer,Beijing
55236,None,USA,Gold,Swimming Men's 400 metres Freestyle,Swimming,1984 Summer,1984,Summer,Los Angeles
55237,None,USA,Silver,Swimming Men's 1500 metres Freestyle,Swimming,1984 Summer,1984,Summer,Los Angeles
55252,None,NOR,Silver,Sailing Mixed 7 metres,Sailing,1920 Summer,1920,Summer,Antwerpen
55254,None,GBR,Bronze,Equestrianism Mixed Three-Day Event Team,Equestrianism,2008 Summer,2008,Summer,Beijing
55264,None,GBR,Bronze,Gymnastics Men's Team All-Around,Gymnastics,1912 Summer,1912,Summer,Stockholm
55272,None,GER,Silver,Hockey Women's Hockey,Hockey,1992 Summer,1992,Summer,Barcelona
55278,None,USA,Gold,Swimming Men's Plunge For Distance,Swimming,1904 Summer,1904,Summer,St. Louis
55280,None,USA,Bronze,Baseball Men's Baseball,Baseball,1996 Summer,1996,Summer,Atlanta
55290,None,NZL,Gold,Rowing Men's Coxed Fours,Rowing,1968 Summer,1968,Summer,Mexico City
55291,None,NZL,Gold,Rowing Men's Coxed Eights,Rowing,1972 Summer,1972,Summer,Munich
55292,None,NZL,Bronze,Rowing Men's Coxed Eights,Rowing,1976 Summer,1976,Summer,Montreal
55313,None,CAN,Gold,Ice Hockey Men's Ice Hockey,Ice Hockey,1952 Winter,1952,Winter,Oslo
55316,None,AUS,Bronze,Swimming Men's 4 x 200 metres Freestyle Relay,Swimming,1960 Summer,1960,Summer,Roma
55318,None,AUS,Bronze,Swimming Men's 4 x 100 metres Freestyle Relay,Swimming,1964 Summer,1964,Summer,Tokyo
55320,None,AUS,Bronze,Swimming Men's 4 x 100 metres Medley Relay,Swimming,1964 Summer,1964,Summer,Tokyo
55331,None,AUS,Silver,Rowing Men's Coxed Eights,Rowing,1968 Summer,1968,Summer,Mexico City
55339,None,ROU,Bronze,Wrestling Men's Light-Heavyweight Greco-Roman,Wrestling,1980 Summer,1980,Summer,Moskva
55340,None,BRA,Bronze,Football Men's Football,Football,1996 Summer,1996,Summer,Atlanta
55349,None,URS,Gold,Canoeing Men's Kayak Fours 1000 metres,Canoeing,1972 Summer,1972,Summer,Munich
55361,None,NOR,Silver,Speed Skating Men's 1000 metres,Speed Skating,1976 Winter,1976,Winter,Innsbruck
55362,None,USA,Gold,Athletics Women's 80 metres Hurdles,Athletics,1932 Summer,1932,Summer,Los Angeles
55363,None,USA,Silver,Athletics Women's High Jump,Athletics,1932 Summer,1932,Summer,Los Angeles
55364,None,USA,Gold,Athletics Women's Javelin Throw,Athletics,1932 Summer,1932,Summer,Los Angeles
55365,None,CAN,Silver,Ice Hockey Women's Ice Hockey,Ice Hockey,1998 Winter,1998,Winter,Nagano
55366,None,URS,Silver,Rowing Men's Coxed Eights,Rowing,1988 Summer,1988,Summer,Seoul
55368,None,LTU,Bronze,Weightlifting Men's Middle-Heavyweight,Weightlifting,2016 Summer,2016,Summer,Rio de Janeiro
55369,None,USA,Gold,Swimming Men's 100 metres Breaststroke,Swimming,1992 Summer,1992,Summer,Barcelona
55370,None,USA,Gold,Swimming Men's 4 x 100 metres Medley Relay,Swimming,1992 Summer,1992,Summer,Barcelona
55414,None,BRA,Bronze,Football Men's Football,Football,2008 Summer,2008,Summer,Beijing
55430,None,USA,Bronze,Athletics Men's 3000 metres Steeplechase,Athletics,1984 Summer,1984,Summer,Los Angeles
55433,None,AUS,Bronze,Softball Women's Softball,Softball,1996 Summer,1996,Summer,Atlanta
55434,None,AUS,Bronze,Softball Women's Softball,Softball,2000 Summer,2000,Summer,Sydney
55436,None,SUI,Gold,Bobsleigh Men's Four,Bobsleigh,1956 Winter,1956,Winter,Cortina d'Ampezzo
55444,None,NED,Bronze,Hockey Men's Hockey,Hockey,1988 Summer,1988,Summer,Seoul
55448,None,BEL,Bronze,Hockey Men's Hockey,Hockey,1920 Summer,1920,Summer,Antwerpen
55456,None,USA,Bronze,Football Men's Football,Football,1904 Summer,1904,Summer,St. Louis
55458,None,GDR,Bronze,Swimming Women's 100 metres Freestyle,Swimming,1980 Summer,1980,Summer,Moskva
55459,None,GDR,Silver,Swimming Women's 200 metres Freestyle,Swimming,1980 Summer,1980,Summer,Moskva
55460,None,GDR,Gold,Swimming Women's 400 metres Freestyle,Swimming,1980 Summer,1980,Summer,Moskva
55461,None,GDR,Silver,Swimming Women's 800 metres Freestyle,Swimming,1980 Summer,1980,Summer,Moskva
55462,None,GDR,Gold,Swimming Women's 4 x 100 metres Freestyle Relay,Swimming,1980 Summer,1980,Summer,Moskva
55465,None,FRG,Gold,Sailing Mixed Two Person Heavyweight Dinghy,Sailing,1976 Summer,1976,Summer,Montreal
55467,None,FRG,Gold,Sailing Mixed Two Person Heavyweight Dinghy,Sailing,1976 Summer,1976,Summer,Montreal
55476,None,GDR,Silver,Rowing Men's Coxed Fours,Rowing,1976 Summer,1976,Summer,Montreal
55477,None,GDR,Gold,Rowing Men's Coxed Fours,Rowing,1980 Summer,1980,Summer,Moskva
55478,None,GDR,Silver,Rowing Men's Coxed Fours,Rowing,1976 Summer,1976,Summer,Montreal
55479,None,GDR,Gold,Rowing Men's Coxed Fours,Rowing,1980 Summer,1980,Summer,Moskva
55481,None,CAN,Bronze,Figure Skating Mixed Pairs,Figure Skating,1948 Winter,1948,Winter,Sankt Moritz
55495,None,AUT,Silver,Ski Jumping Men's Large Hill Team,Ski Jumping,2014 Winter,2014,Winter,Sochi
55507,None,SUI,Bronze,Shooting Women's Sporting Pistol 25 metres,Shooting,2016 Summer,2016,Summer,Rio de Janeiro
55511,None,GDR,Bronze,Gymnastics Men's Team All-Around,Gymnastics,1968 Summer,1968,Summer,Mexico City
55527,None,SUI,Silver,Football Men's Football,Football,1924 Summer,1924,Summer,Paris
55529,None,GER,Silver,Wrestling Men's Heavyweight Greco-Roman,Wrestling,1956 Summer,1956,Summer,Melbourne
55530,None,GER,Silver,Wrestling Men's Heavyweight Greco-Roman,Wrestling,1960 Summer,1960,Summer,Roma
55531,None,GER,Gold,Wrestling Men's Heavyweight Freestyle,Wrestling,1960 Summer,1960,Summer,Roma
55532,None,GER,Bronze,Wrestling Men's Heavyweight Greco-Roman,Wrestling,1964 Summer,1964,Summer,Tokyo
55534,None,FRG,Bronze,Wrestling Men's Heavyweight Freestyle,Wrestling,1968 Summer,1968,Summer,Mexico City
55538,None,SUI,Bronze,Wrestling Men's Featherweight Greco-Roman,Wrestling,1984 Summer,1984,Summer,Los Angeles
55541,None,USA,Gold,Rowing Men's Coxless Fours,Rowing,1904 Summer,1904,Summer,St. Louis
55546,None,USA,Gold,Shooting Men's Free Pistol 50 yards Team,Shooting,1908 Summer,1908,Summer,London
55548,None,USA,Gold,Shooting Men's Free Pistol 50 metres Team,Shooting,1912 Summer,1912,Summer,Stockholm
55562,None,GER,Gold,Canoeing Women's Kayak Doubles 500 metres,Canoeing,2012 Summer,2012,Summer,London
55563,None,GER,Silver,Canoeing Women's Kayak Fours 500 metres,Canoeing,2012 Summer,2012,Summer,London
55564,None,GER,Silver,Canoeing Women's Kayak Doubles 500 metres,Canoeing,2016 Summer,2016,Summer,Rio de Janeiro
55565,None,GER,Silver,Canoeing Women's Kayak Fours 500 metres,Canoeing,2016 Summer,2016,Summer,Rio de Janeiro
55578,None,BUL,Bronze,Football Men's Football,Football,1956 Summer,1956,Summer,Melbourne
55604,None,FRA,Silver,Basketball Women's Basketball,Basketball,2012 Summer,2012,Summer,London
55608,None,SUI,Gold,Art Competitions Mixed Painting Applied Arts,Art Competitions,1936 Summer,1936,Summer,Berlin
55620,None,SUI,Silver,Art Competitions Mixed Painting Applied Arts,Art Competitions,1948 Summer,1948,Summer,London
55621,None,SUI,Bronze,Art Competitions Mixed Painting Applied Arts,Art Competitions,1948 Summer,1948,Summer,London
55637,None,NZL,Bronze,Rowing Men's Coxed Eights,Rowing,1976 Summer,1976,Summer,Montreal
55639,None,NOR,Silver,Handball Women's Handball,Handball,1988 Summer,1988,Summer,Seoul
55653,None,NED,Silver,Figure Skating Women's Singles,Figure Skating,1960 Winter,1960,Winter,Squaw Valley
